tags_vec,not_worth_it,worth_it,total_count,tags
tags__dessert,2851,3677,6528,dessert
tags__sidedish,1774,2667,4441,sidedish
tags__maindish,1586,2075,3661,maindish
tags__worldcuisin,1520,1829,3349,worldcuisin
tags__soupsstewsandchili,944,1655,2599,soupsstewsandchili
tags__meatandpoultri,1133,1343,2476,meatandpoultri
tags__appetizersandsnack,990,1474,2464,appetizersandsnack
tags__bread,752,1097,1849,bread
tags__salad,680,1134,1814,salad
tags__chicken,872,928,1800,chicken
tags__veget,791,969,1760,veget
tags__saucesandcondi,604,1155,1759,saucesandcondi
tags__soup,619,1094,1713,soup
tags__breakfastandbrunch,684,935,1619,breakfastandbrunch
tags__cooki,771,786,1557,cooki
tags__drink,491,837,1328,drink
tags__european,524,707,1231,european
tags__cake,522,704,1226,cake
tags__seafood,473,726,1199,seafood
tags__pork,491,615,1106,pork
tags__quickbread,461,609,1070,quickbread
tags__asian,539,527,1066,asian
tags__fruitdessert,466,554,1020,fruitdessert
tags__pie,363,577,940,pie
tags__latinamerican,400,531,931,latinamerican
tags__everydaycook,333,512,845,everydaycook
tags__dipsandspread,301,510,811,dipsandspread
tags__sauc,276,516,792,sauc
tags__vegetablesoup,319,463,782,vegetablesoup
tags__mexican,304,447,751,mexican
tags__chickenbreast,391,292,683,chickenbreast
tags__beef,277,375,652,beef
tags__yeastbread,227,373,600,yeastbread
tags__pasta,296,295,591,pasta
tags__egg,216,324,540,egg
tags__italian,216,297,513,italian
tags__potato,214,293,507,potato
tags__vegetablesalad,199,305,504,vegetablesalad
tags__stew,182,269,451,stew
tags__specialtydessert,136,266,402,specialtydessert
tags__fish,205,193,398,fish
tags__cocktail,132,254,386,cocktail
tags__casserol,202,174,376,casserol
tags__muffin,191,182,373,muffin
tags__rice,193,179,372,rice
tags__squash,151,193,344,squash
